"Plot Title: PycnoFeeding_TankX5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10893406, SEN S/N: 10893406)","Coupler Detached (LGR S/N: 10893406)","Coupler Attached (LGR S/N: 10893406)","Host Connected (LGR S/N: 10893406)","Stopped (LGR S/N: 10893406)","End Of File (LGR S/N: 10893406)"
1,2022/09/29 14:45:00,12.871,Logged,,,,
2,2022/09/29 14:50:00,12.847,,,,,
3,2022/09/29 14:55:00,12.727,,,,,
4,2022/09/29 15:00:00,12.654,,,,,
5,2022/09/29 15:05:00,12.678,,,,,
6,2022/09/29 15:10:00,12.654,,,,,
7,2022/09/29 15:15:00,12.678,,,,,
8,2022/09/29 15:20:00,12.630,,,,,
9,2022/09/29 15:25:00,12.630,,,,,
10,2022/09/29 15:30:00,12.606,,,,,
11,2022/09/29 15:35:00,12.582,,,,,
12,2022/09/29 15:40:00,12.558,,,,,
13,2022/09/29 15:45:00,12.534,,,,,
14,2022/09/29 15:50:00,12.509,,,,,
15,2022/09/29 15:55:00,12.509,,,,,
16,2022/09/29 16:00:00,12.485,,,,,
17,2022/09/29 16:05:00,12.461,,,,,
18,2022/09/29 16:10:00,12.437,,,,,
19,2022/09/29 16:15:00,12.413,,,,,
20,2022/09/29 16:20:00,12.389,,,,,
21,2022/09/29 16:25:00,12.413,,,,,
22,2022/09/29 16:30:00,12.364,,,,,
23,2022/09/29 16:35:00,12.413,,,,,
24,2022/09/29 16:40:00,12.389,,,,,
25,2022/09/29 16:45:00,12.340,,,,,
26,2022/09/29 16:50:00,12.340,,,,,
27,2022/09/29 16:55:00,12.292,,,,,
28,2022/09/29 17:00:00,12.243,,,,,
29,2022/09/29 17:05:00,12.219,,,,,
30,2022/09/29 17:10:00,12.195,,,,,
31,2022/09/29 17:15:00,12.147,,,,,
32,2022/09/29 17:20:00,12.122,,,,,
33,2022/09/29 17:25:00,12.098,,,,,
34,2022/09/29 17:30:00,12.074,,,,,
35,2022/09/29 17:35:00,12.025,,,,,
36,2022/09/29 17:40:00,12.001,,,,,
37,2022/09/29 17:45:00,11.977,,,,,
38,2022/09/29 17:50:00,11.929,,,,,
39,2022/09/29 17:55:00,11.904,,,,,
40,2022/09/29 18:00:00,11.856,,,,,
41,2022/09/29 18:05:00,11.832,,,,,
42,2022/09/29 18:10:00,11.832,,,,,
43,2022/09/29 18:15:00,11.807,,,,,
44,2022/09/29 18:20:00,11.783,,,,,
45,2022/09/29 18:25:00,11.734,,,,,
46,2022/09/29 18:30:00,11.686,,,,,
47,2022/09/29 18:35:00,11.662,,,,,
48,2022/09/29 18:40:00,11.613,,,,,
49,2022/09/29 18:45:00,11.589,,,,,
50,2022/09/29 18:50:00,11.565,,,,,
51,2022/09/29 18:55:00,11.540,,,,,
52,2022/09/29 19:00:00,11.516,,,,,
53,2022/09/29 19:05:00,11.492,,,,,
54,2022/09/29 19:10:00,11.467,,,,,
55,2022/09/29 19:15:00,11.443,,,,,
56,2022/09/29 19:20:00,11.394,,,,,
57,2022/09/29 19:25:00,11.370,,,,,
58,2022/09/29 19:30:00,11.370,,,,,
59,2022/09/29 19:35:00,11.370,,,,,
60,2022/09/29 19:40:00,11.346,,,,,
61,2022/09/29 19:45:00,11.321,,,,,
62,2022/09/29 19:50:00,11.321,,,,,
63,2022/09/29 19:55:00,11.297,,,,,
64,2022/09/29 20:00:00,11.273,,,,,
65,2022/09/29 20:05:00,11.248,,,,,
66,2022/09/29 20:10:00,11.248,,,,,
67,2022/09/29 20:15:00,11.248,,,,,
68,2022/09/29 20:20:00,11.224,,,,,
69,2022/09/29 20:25:00,11.224,,,,,
70,2022/09/29 20:30:00,11.224,,,,,
71,2022/09/29 20:35:00,11.200,,,,,
72,2022/09/29 20:40:00,11.200,,,,,
73,2022/09/29 20:45:00,11.175,,,,,
74,2022/09/29 20:50:00,11.175,,,,,
75,2022/09/29 20:55:00,11.175,,,,,
76,2022/09/29 21:00:00,11.151,,,,,
77,2022/09/29 21:05:00,11.151,,,,,
78,2022/09/29 21:10:00,11.151,,,,,
79,2022/09/29 21:15:00,11.127,,,,,
80,2022/09/29 21:20:00,11.127,,,,,
81,2022/09/29 21:25:00,11.127,,,,,
82,2022/09/29 21:30:00,11.102,,,,,
83,2022/09/29 21:35:00,11.102,,,,,
84,2022/09/29 21:40:00,11.102,,,,,
85,2022/09/29 21:45:00,11.102,,,,,
86,2022/09/29 21:50:00,11.102,,,,,
87,2022/09/29 21:55:00,11.078,,,,,
88,2022/09/29 22:00:00,11.078,,,,,
89,2022/09/29 22:05:00,11.078,,,,,
90,2022/09/29 22:10:00,11.078,,,,,
91,2022/09/29 22:15:00,11.078,,,,,
92,2022/09/29 22:20:00,11.053,,,,,
93,2022/09/29 22:25:00,11.053,,,,,
94,2022/09/29 22:30:00,11.053,,,,,
95,2022/09/29 22:35:00,11.053,,,,,
96,2022/09/29 22:40:00,11.029,,,,,
97,2022/09/29 22:45:00,11.029,,,,,
98,2022/09/29 22:50:00,11.029,,,,,
99,2022/09/29 22:55:00,11.029,,,,,
100,2022/09/29 23:00:00,11.029,,,,,
101,2022/09/29 23:05:00,11.029,,,,,
102,2022/09/29 23:10:00,11.029,,,,,
103,2022/09/29 23:15:00,11.029,,,,,
104,2022/09/29 23:20:00,11.029,,,,,
105,2022/09/29 23:25:00,11.029,,,,,
106,2022/09/29 23:30:00,11.029,,,,,
107,2022/09/29 23:35:00,11.005,,,,,
108,2022/09/29 23:40:00,11.029,,,,,
109,2022/09/29 23:45:00,11.029,,,,,
110,2022/09/29 23:50:00,11.029,,,,,
111,2022/09/29 23:55:00,11.029,,,,,
112,2022/09/30 00:00:00,11.029,,,,,
113,2022/09/30 00:05:00,11.029,,,,,
114,2022/09/30 00:10:00,11.005,,,,,
115,2022/09/30 00:15:00,11.029,,,,,
116,2022/09/30 00:20:00,11.029,,,,,
117,2022/09/30 00:25:00,11.029,,,,,
118,2022/09/30 00:30:00,11.029,,,,,
119,2022/09/30 00:35:00,11.029,,,,,
120,2022/09/30 00:40:00,11.029,,,,,
121,2022/09/30 00:45:00,11.029,,,,,
122,2022/09/30 00:50:00,11.005,,,,,
123,2022/09/30 00:55:00,11.005,,,,,
124,2022/09/30 01:00:00,11.005,,,,,
125,2022/09/30 01:05:00,11.005,,,,,
126,2022/09/30 01:10:00,11.005,,,,,
127,2022/09/30 01:15:00,11.005,,,,,
128,2022/09/30 01:20:00,11.005,,,,,
129,2022/09/30 01:25:00,11.005,,,,,
130,2022/09/30 01:30:00,11.005,,,,,
131,2022/09/30 01:35:00,11.005,,,,,
132,2022/09/30 01:40:00,10.980,,,,,
133,2022/09/30 01:45:00,11.005,,,,,
134,2022/09/30 01:50:00,11.005,,,,,
135,2022/09/30 01:55:00,11.005,,,,,
136,2022/09/30 02:00:00,11.005,,,,,
137,2022/09/30 02:05:00,11.005,,,,,
138,2022/09/30 02:10:00,11.005,,,,,
139,2022/09/30 02:15:00,11.005,,,,,
140,2022/09/30 02:20:00,11.005,,,,,
141,2022/09/30 02:25:00,11.005,,,,,
142,2022/09/30 02:30:00,11.005,,,,,
143,2022/09/30 02:35:00,11.005,,,,,
144,2022/09/30 02:40:00,11.005,,,,,
145,2022/09/30 02:45:00,11.005,,,,,
146,2022/09/30 02:50:00,11.005,,,,,
147,2022/09/30 02:55:00,11.005,,,,,
148,2022/09/30 03:00:00,11.005,,,,,
149,2022/09/30 03:05:00,11.005,,,,,
150,2022/09/30 03:10:00,11.005,,,,,
151,2022/09/30 03:15:00,11.005,,,,,
152,2022/09/30 03:20:00,11.005,,,,,
153,2022/09/30 03:25:00,11.005,,,,,
154,2022/09/30 03:30:00,11.005,,,,,
155,2022/09/30 03:35:00,11.029,,,,,
156,2022/09/30 03:40:00,11.029,,,,,
157,2022/09/30 03:45:00,11.029,,,,,
158,2022/09/30 03:50:00,11.029,,,,,
159,2022/09/30 03:55:00,11.029,,,,,
160,2022/09/30 04:00:00,11.029,,,,,
161,2022/09/30 04:05:00,11.029,,,,,
162,2022/09/30 04:10:00,11.029,,,,,
163,2022/09/30 04:15:00,11.029,,,,,
164,2022/09/30 04:20:00,11.029,,,,,
165,2022/09/30 04:25:00,11.029,,,,,
166,2022/09/30 04:30:00,11.029,,,,,
167,2022/09/30 04:35:00,11.029,,,,,
168,2022/09/30 04:40:00,11.029,,,,,
169,2022/09/30 04:45:00,11.029,,,,,
170,2022/09/30 04:50:00,11.029,,,,,
171,2022/09/30 04:55:00,11.029,,,,,
172,2022/09/30 05:00:00,11.005,,,,,
173,2022/09/30 05:05:00,11.005,,,,,
174,2022/09/30 05:10:00,11.005,,,,,
175,2022/09/30 05:15:00,10.980,,,,,
176,2022/09/30 05:20:00,10.980,,,,,
177,2022/09/30 05:25:00,10.980,,,,,
178,2022/09/30 05:30:00,10.980,,,,,
179,2022/09/30 05:35:00,10.956,,,,,
180,2022/09/30 05:40:00,10.956,,,,,
181,2022/09/30 05:45:00,10.956,,,,,
182,2022/09/30 05:50:00,10.956,,,,,
183,2022/09/30 05:55:00,10.956,,,,,
184,2022/09/30 06:00:00,10.932,,,,,
185,2022/09/30 06:05:00,10.932,,,,,
186,2022/09/30 06:10:00,10.932,,,,,
187,2022/09/30 06:15:00,10.932,,,,,
188,2022/09/30 06:20:00,10.932,,,,,
189,2022/09/30 06:25:00,10.932,,,,,
190,2022/09/30 06:30:00,10.907,,,,,
191,2022/09/30 06:35:00,10.907,,,,,
192,2022/09/30 06:40:00,10.907,,,,,
193,2022/09/30 06:45:00,10.907,,,,,
194,2022/09/30 06:50:00,10.907,,,,,
195,2022/09/30 06:55:00,10.907,,,,,
196,2022/09/30 07:00:00,10.907,,,,,
197,2022/09/30 07:05:00,10.883,,,,,
198,2022/09/30 07:10:00,10.883,,,,,
199,2022/09/30 07:15:00,10.883,,,,,
200,2022/09/30 07:20:00,10.883,,,,,
201,2022/09/30 07:25:00,10.883,,,,,
202,2022/09/30 07:30:00,10.883,,,,,
203,2022/09/30 07:35:00,10.883,,,,,
204,2022/09/30 07:40:00,10.883,,,,,
205,2022/09/30 07:45:00,10.858,,,,,
206,2022/09/30 07:50:00,10.858,,,,,
207,2022/09/30 07:55:00,10.858,,,,,
208,2022/09/30 08:00:00,10.858,,,,,
209,2022/09/30 08:05:00,10.858,,,,,
210,2022/09/30 08:10:00,10.858,,,,,
211,2022/09/30 08:15:00,10.858,,,,,
212,2022/09/30 08:20:00,10.883,,,,,
213,2022/09/30 08:25:00,10.883,,,,,
214,2022/09/30 08:30:00,10.883,,,,,
215,2022/09/30 08:35:00,10.883,,,,,
216,2022/09/30 08:40:00,10.883,,,,,
217,2022/09/30 08:45:00,10.883,,,,,
218,2022/09/30 08:50:00,10.883,,,,,
219,2022/09/30 08:55:00,10.883,,,,,
220,2022/09/30 09:00:00,10.883,,,,,
221,2022/09/30 09:05:00,10.883,,,,,
222,2022/09/30 09:10:00,10.907,,,,,
223,2022/09/30 09:15:00,10.907,,,,,
224,2022/09/30 09:20:00,10.907,,,,,
225,2022/09/30 09:25:00,10.907,,,,,
226,2022/09/30 09:30:00,10.932,,,,,
227,2022/09/30 09:35:00,10.932,,,,,
228,2022/09/30 09:40:00,10.956,,,,,
229,2022/09/30 09:45:00,10.956,,,,,
230,2022/09/30 09:50:00,10.980,,,,,
231,2022/09/30 09:55:00,10.980,,,,,
232,2022/09/30 10:00:00,10.980,,,,,
233,2022/09/30 10:05:00,10.980,,,,,
234,2022/09/30 10:10:00,11.005,,,,,
235,2022/09/30 10:15:00,11.029,,,,,
