"Plot Title: PycnoFeeding_TankY"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10893408, SEN S/N: 10893408)","Coupler Detached (LGR S/N: 10893408)","Coupler Attached (LGR S/N: 10893408)","Host Connected (LGR S/N: 10893408)","Stopped (LGR S/N: 10893408)","End Of File (LGR S/N: 10893408)"
1,2022/07/06 15:02:30,12.389,Logged,,,,
2,2022/07/06 15:07:30,12.171,,,,,
3,2022/07/06 15:12:30,12.147,,,,,
4,2022/07/06 15:17:30,12.122,,,,,
5,2022/07/06 15:22:30,12.171,,,,,
6,2022/07/06 15:27:30,12.195,,,,,
7,2022/07/06 15:32:30,12.195,,,,,
8,2022/07/06 15:37:30,12.243,,,,,
9,2022/07/06 15:42:30,12.219,,,,,
10,2022/07/06 15:47:30,12.219,,,,,
11,2022/07/06 15:52:30,12.243,,,,,
12,2022/07/06 15:57:30,12.219,,,,,
13,2022/07/06 16:02:30,12.219,,,,,
14,2022/07/06 16:07:30,12.195,,,,,
15,2022/07/06 16:12:30,12.195,,,,,
16,2022/07/06 16:17:30,12.171,,,,,
17,2022/07/06 16:22:30,12.171,,,,,
18,2022/07/06 16:27:30,12.195,,,,,
19,2022/07/06 16:32:30,12.171,,,,,
20,2022/07/06 16:37:30,12.195,,,,,
21,2022/07/06 16:42:30,12.195,,,,,
22,2022/07/06 16:47:30,12.195,,,,,
23,2022/07/06 16:52:30,12.195,,,,,
24,2022/07/06 16:57:30,12.195,,,,,
25,2022/07/06 17:02:30,12.219,,,,,
26,2022/07/06 17:07:30,12.219,,,,,
27,2022/07/06 17:12:30,12.219,,,,,
28,2022/07/06 17:17:30,12.219,,,,,
29,2022/07/06 17:22:30,12.219,,,,,
30,2022/07/06 17:27:30,12.219,,,,,
31,2022/07/06 17:32:30,12.243,,,,,
32,2022/07/06 17:37:30,12.243,,,,,
33,2022/07/06 17:42:30,12.219,,,,,
34,2022/07/06 17:47:30,12.219,,,,,
35,2022/07/06 17:52:30,12.219,,,,,
36,2022/07/06 17:57:30,12.195,,,,,
37,2022/07/06 18:02:30,12.195,,,,,
38,2022/07/06 18:07:30,12.195,,,,,
39,2022/07/06 18:12:30,12.171,,,,,
40,2022/07/06 18:17:30,12.147,,,,,
41,2022/07/06 18:22:30,12.147,,,,,
42,2022/07/06 18:27:30,12.147,,,,,
43,2022/07/06 18:32:30,12.122,,,,,
