trial,tank,pycnoID,item,itemID,size,add_date,add_time,enveloped_date,enveloped_time,consumed_date,consumed_time,notes
feeding1,X,Goose1,cucumber,paca_x1_01,340,2022-07-08,935,,,,,
feeding1,X,Goose1,cucumber,paca_x1_02,360,2022-07-08,935,,,,,
feeding1,X,Goose1,mussel,mysp_x1_01,82,2022-07-08,935,,,,,
feeding1,X,Goose1,mussel,mysp_x1_02,69,2022-07-08,935,,,,,
feeding1,X,Goose1,green,stdr_x1_01,62,2022-07-08,935,2022-07-08,1300,2022-07-09,1000,
feeding1,X,Goose1,green,stdr_x1_02,83,2022-07-08,935,2022-07-09,0,2022-07-10,0,
feeding1,X,Goose1,purple,stpu_x1_01,76,2022-07-08,935,,,,,
feeding1,X,Goose1,purple,stpu_x1_02,60,2022-07-08,935,2022-07-17,1940,2022-07-18,1420,
feeding1,X,Goose1,red,mefr_x1_01,58,2022-07-08,935,,,,,
feeding1,X,Goose1,red,mefr_x1_02,37,2022-07-08,935,2022-07-17,1940,2020-07-18,0,
feeding1,X,Goose1,chiton,crst_x1_01,240,2022-07-08,935,,,,,
feeding1,X,Goose1,chiton,crst_x1_02,180,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,cucumber,paca_y1_01,320,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,cucumber,paca_y1_02,350,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,mussel,mysp_y1_01,101,2022-07-08,935,2022-07-17,0,2022-07-17,1940,
feeding1,Y,PtCaution2,mussel,mysp_y1_02,69,2022-07-08,935,2022-07-09,0,2022-07-09,1000,
feeding1,Y,PtCaution2,green,stdr_y1_01,73,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,green,stdr_y1_02,67,2022-07-08,935,2022-07-16,0,2022-07-17,0,
feeding1,Y,PtCaution2,purple,stpu_y1_01,70,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,purple,stpu_y1_02,76,2022-07-08,935,2022-07-12,0,2022-07-13,1345,
feeding1,Y,PtCaution2,red,mefr_y1_01,48,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,red,mefr_y1_02,34,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,chiton,crst_y1_01,170,2022-07-08,935,,,,,
feeding1,Y,PtCaution2,chiton,crst_y1_02,180,2022-07-08,935,,,,,
feeding1,X,Goose1,green,stdr_x1_03,50,2022-07-08,1400,2022-07-09,0,2022-07-10,0,
feeding1,X,Goose1,green,stdr_x1_04,44,2022-07-09,1000,2022-07-10,1110,2022-07-11,1435,
feeding1,X,Goose1,green,stdr_x1_05,71,2022-07-09,1000,2022-07-16,0,2022-07-17,0,
feeding1,Y,PtCaution2,mussel,mysp_y1_03,80,2022-07-09,1000,2022-07-14,0,2022-07-14,1715,
feeding1,X,Goose1,green,stdr_x1_06,79,2022-07-10,1110,2022-07-10,1155,2022-07-12,0,
feeding1,X,Goose1,green,stdr_x1_07,52,2022-07-10,1155,2022-07-10,1820,2022-07-13,0,
feeding1,X,Goose1,green,stdr_x1_08,66,2022-07-10,1820,2022-07-12,0,2022-07-13,0,
feeding1,X,Goose1,green,stdr_x1_09,52,2022-07-12,850,2022-07-14,0,2022-07-14,0,
feeding1,Y,PtCaution2,purple,stpu_y1_03,75,2022-07-12,850,,,,,
feeding1,X,Goose1,green,stdr_x1_10,58,2022-07-14,825,2022-07-14,1030,2022-07-15,0,
feeding1,Y,PtCaution2,mussel,mysp_y1_04,71,2022-07-14,825,2022-07-17,1940,2022-07-19,0,
feeding1,X,Goose1,green,stdr_x1_11,60,2022-07-14,825,2022-07-14,1220,2022-07-15,0,
feeding1,X,Goose1,green,stdr_x1_12,71,2022-07-14,1220,,,,,
feeding1,X,Goose1,green,stdr_x1_13,57,2022-07-16,945,2022-07-17,1940,2022-07-19,1430,
feeding1,Y,PtCaution2,green,stdr_y1_03,42,2022-07-16,945,,,,,
feeding1,Y,PtCaution2,mussel,mysp_y1_05,96,2022-07-17,930,2022-07-18,0,2022-07-20,0,
feeding1,X,Goose1,green,stdr_x1_14,78,2022-07-17,1940,,,,,
feeding1,X,Goose1,red,mefr_x1_03,66,2022-07-17,1940,,,,,
feeding1,X,Goose1,purple,stpu_x1_03,77,2022-07-17,1940,,,,,
feeding1,Y,PtCaution2,mussel,mysp_y1_06,65,2022-07-17,1940,,,,,
feeding1,Y,PtCaution2,mussel,mysp_y1_07,54,2022-07-18,700,,,,,
feeding2,X,Goose2,mussel,mysp_x2_01,50,2022-07-28,1445,2022-08-01,0,2022-08-01,945,
feeding2,X,Goose2,mussel,mysp_x2_02,57,2022-07-28,1445,2022-08-01,945,2022-08-01,1600,
feeding2,X,Goose2,cucumber,paca_x2_01,320,2022-07-28,1445,,,,,
feeding2,X,Goose2,cucumber,paca_x2_02,270,2022-07-28,1445,,,,,"died on 2022-08-01, not consumed"
feeding2,X,Goose2,purple,stpu_x2_01,82,2022-07-28,1445,,,,,
feeding2,X,Goose2,purple,stpu_x2_02,63,2022-07-28,1445,,,,,
feeding2,X,Goose2,red,mefr_x2_01,41,2022-07-28,1445,2022-07-29,0,2022-07-29,850,
feeding2,X,Goose2,red,mefr_x2_02,43,2022-07-28,1445,2022-07-29,0,2022-07-29,850,
feeding2,X,Goose2,green,stdr_x2_01,75,2022-07-28,1445,2022-08-01,945,2022-08-01,1600,
feeding2,X,Goose2,green,stdr_x2_02,43,2022-07-28,1445,2022-08-02,0,2022-08-02,1840,
feeding2,X,Goose2,chiton,crst_x2_01,220,2022-07-28,1500,,,,,
feeding2,X,Goose2,chiton,crst_x2_02,180,2022-07-28,1500,,,,,
feeding2,Y,Docks3,cucumber,paca_y2_01,290,2022-07-28,1450,,,,,
feeding2,Y,Docks3,cucumber,paca_y2_02,360,2022-07-28,1450,,,,,
feeding2,Y,Docks3,green,stdr_y2_01,65,2022-07-28,1450,2022-07-29,0,2022-07-29,1930,
feeding2,Y,Docks3,green,stdr_y2_02,65,2022-07-28,1450,2022-07-29,0,2022-07-30,0,
feeding2,Y,Docks3,purple,stpu_y2_01,65,2022-07-28,1450,,,,,
feeding2,Y,Docks3,purple,stpu_y2_02,66,2022-07-28,1450,2022-08-02,1220,2022-08-03,0,
feeding2,Y,Docks3,red,mefr_y2_01,42,2022-07-28,1450,,,,,
feeding2,Y,Docks3,red,mefr_y2_02,39,2022-07-28,1450,2022-07-31,0,2022-07-31,945,
feeding2,Y,Docks3,mussel,mysp_y2_01,62,2022-07-28,1450,2022-07-29,0,2022-07-29,850,
feeding2,Y,Docks3,mussel,mysp_y2_02,51,2022-07-28,1450,2022-07-29,0,2022-07-29,850,
feeding2,Y,Docks3,chiton,crst_y2_01,160,2022-07-28,1500,,,,,
feeding2,Y,Docks3,chiton,crst_y2_02,205,2022-07-28,1500,,,,,
feeding2,X,Goose2,red,mefr_x2_03,39,2022-07-29,850,2022-08-02,0,2022-08-02,940,
feeding2,X,Goose2,red,mefr_x2_04,37,2022-07-29,850,,,,,
feeding2,Y,Docks3,mussel,mysp_y2_03,65,2022-07-29,850,2022-07-29,1050,2022-07-30,0,
feeding2,Y,Docks3,mussel,mysp_y2_04,59,2022-07-29,850,2022-07-29,1540,2022-08-01,0,
feeding2,Y,Docks3,green,stdr_y2_03,79,2022-07-29,850,,,,,
feeding2,Y,Docks3,green,stdr_y2_04,51,2022-07-29,850,2022-08-01,0,2022-08-01,945,
feeding2,Y,Docks3,mussel,mysp_y2_04,84,2022-07-29,1050,,,,,
feeding2,Y,Docks3,red,mefr_y2_03,36,2022-07-31,945,,,,,
feeding2,Y,Docks3,mussel,mysp_y2_05,67,2022-07-31,1540,2022-08-01,1020,2022-08-03,0,
feeding2,Y,Docks3,green,stdr_y2_05,77,2022-08-01,945,2022-08-02,0,2022-08-02,940,
feeding2,Y,Docks3,mussel,mysp_y2_06,65,2022-08-01,945,,,,,
feeding2,X,Goose2,green,stdr_x2_03,62,2022-08-01,945,2022-08-04,0,,,
feeding2,X,Goose2,mussel,mysp_x2_03,59,2022-08-01,945,2022-08-02,0,2022-08-02,1840,
feeding2,Y,Docks3,mussel,mysp_y2_07,51,2022-08-01,1020,2022-08-03,1230,2022-08-04,0,
feeding2,Y,Docks3,green,stdr_y2_06,48,2022-08-01,1205,2022-08-02,1220,2022-08-03,0,
feeding2,X,Goose2,mussel,mysp_x2_04,59,2022-08-01,1600,,,,,
feeding2,X,Goose2,cucumber,paca_x2_03,220,2022-08-01,1600,,,,,replacing dead cuke
feeding2,X,Goose2,red,mefr_x2_05,34,2022-08-02,940,,,,,
feeding2,X,Goose2,green,stdr_x2_04,58,2022-08-02,940,2022-08-03,0,2022-08-03,1640,
feeding2,X,Goose2,mussel,mysp_x2_05,48,2022-08-02,940,2022-08-03,0,2022-08-03,920,
feeding2,Y,Docks3,purple,stpu_y2_03,75,2022-08-02,1220,,,,,
feeding2,Y,Docks3,green,stdr_y2_07,61,2022-08-02,1220,2022-08-03,1230,2022-08-04,0,
