Research_group,Site,CA_MPA_Name_Short,MPA_status,LTM_project_short_code ,Latitude,Longitude,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019
RCCA,Macklyn Cove,,REF,LTM_Kelp_SRock,42.045155,-124.294724,,,,,,,,,,,,X,,X
RCCA,Pyramid Pt,Pyramid Point SMCA,MPA,LTM_Kelp_SRock,41.994801,-124.217308,,,,,,,,,,,,X,,X
RCCA,Flat Iron Rock,,,NA,41.059425,-124.157829,,,,,,,,,,,,X,,X
RCCA,Trinidad,,,NA,41.055,-124.139999,,,X,,,,,X,,,,X,X,X
RCCA,MacKerricher North,MacKerricher SMCA,MPA,LTM_Kelp_SRock,39.492823,-123.80199,,,,,,,,,,,,,X,X
RCCA,Glass Beach,,REF,LTM_Kelp_SRock,39.451645,-123.814728,,,,,,,,,,X,,,,X
RCCA,Noyo Harbor,,,NA,39.42794,-123.813357,,,,,,,,,,,,,X,X
RCCA,Caspar North,,REF,LTM_Kelp_SRock,39.364429,-123.821327,,,,,,,,,X,X,X,X,X,X
RCCA,Caspar,,REF,LTM_Kelp_SRock,39.361729,-123.822449,,,X,,X,,,,X,X,X,X,X,X
RCCA,Frolic Cove,Point Cabrillo SMR,MPA,LTM_Kelp_SRock,39.355026,-123.823868,,,,,,,,,X,X,X,X,X,X
RCCA,Russian Gulch,Russian Gulch SMCA,MPA,LTM_Kelp_SRock,39.327984,-123.8088,,,,,,,,,X,X,X,X,X,X
RCCA,Mendocino Headlands,,REF,LTM_Kelp_SRock,39.305283,-123.811218,,X,X,X,X,X,X,,X,X,X,X,X,X
RCCA,Portuguese Beach,,REF,LTM_Kelp_SRock,39.303234,-123.803398,,X,X,X,X,X,X,,X,,,X,X,X
RCCA,Van Damme,Van Damme SMCA,MPA,LTM_Kelp_SRock,39.271915,-123.795914,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Albion Cove,,,LTM_Kelp_SRock,39.2283,-123.7744,,,,,,,,,,,,,X,X
RCCA,Point Arena Lighthouse,Point Arena SMR,MPA,LTM_Kelp_SRock,38.95117,-123.74404,,,,,,,,,,,,,X,X
RCCA,Point Arena MPA (M2),Point Arena SMR,MPA,LTM_Kelp_SRock,38.944801,-123.740501,,,,,,X,X,X,,,X,,X,
RCCA,Stornetta,Sea Lion Cove SMCA,MPA,LTM_Kelp_SRock,38.937244,-123.731911,,X,,,X,,,X,,,,,,
RCCA,Monument,,REF,LTM_Kelp_SRock,38.92769,-123.73447,,,,,,,,,,,,,X,
RCCA,Point Arena Ref,,REF,LTM_Kelp_SRock,38.908001,-123.719101,,,,,,X,X,X,,,X,,X,X
RCCA,Pebble Beach,,REF,LTM_Kelp_SRock,38.691212,-123.441673,,,,,,,,,,X,X,X,X,X
RCCA,Gerstle Cove,Gerstle Cove SMR,MPA,LTM_Kelp_SRock,38.56646,-123.329964,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,South Grestle,,REF,LTM_Kelp_SRock,38.564899,-123.329002,,,,,,,,,,,,X,X,X
RCCA,Ocean Cove,,REF,LTM_Kelp_SRock,38.555119,-123.305664,,X,X,X,,X,X,X,X,X,X,X,X,X
RCCA,Stillwater Cove Sonoma,,REF,LTM_Kelp_SRock,38.540298,-123.288803,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Timber Cove,,,NA,38.530576,-123.276614,,,,,,,,,,,,,X,
RCCA,Ft Ross,,REF,LTM_Kelp_SRock,38.510601,-123.245064,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Beach Street,Montara SMR,MPA,LTM_Kelp_SRock,37.524437,-122.525836,,,,,,,,,,,,,X,X
RCCA,Flat Rock,Montara SMR,MPA,LTM_Kelp_SRock,37.509892,-122.515559,,,,,,,,,,,,X,X,X
RCCA,Half Moon Reef,,REF,LTM_Kelp_SRock,37.486328,-122.49044,,,,,,,,,,,,X,X,X
RCCA,Southeast Reef,,REF,LTM_Kelp_SRock,37.470132,-122.479643,,,,,,,,,,,,,X,X
RCCA,Saber Jets,,,NA,36.948582,-122.03447,,,,,,,,,,X,,,,
RCCA,Terrace,,,NA,36.945915,-122.064796,,,,,,,,,,X,,,,
RCCA,Coral St Lucus Pt,Pacific Grove Marine Gardens SMCA,MPA,LTM_Kelp_SRock,36.637768,-121.923218,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Otter Cove,Pacific Grove Marine Gardens SMCA,MPA,LTM_Kelp_SRock,36.634933,-121.919952,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Lovers 3,,,NA,36.628521,-121.918238,,,,,,,,,,,,,X,X
RCCA,Lovers Point,Lovers Point - Julia Platt SMR,MPA,LTM_Kelp_SRock,36.62545,-121.911934,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Hopkins,Lovers Point - Julia Platt SMR,MPA,LTM_Kelp_SRock,36.621849,-121.90168,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Aquarium,Edward F. Ricketts SMCA,MPA/REF,LTM_Kelp_SRock,36.619232,-121.899414,,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,MacAbee,Edward F. Ricketts SMCA,MPA/REF,LTM_Kelp_SRock,36.618401,-121.897614,X,X,X,X,X,X,X,X,X,X,X,X,X,X
RCCA,Asilomar,Asilomar SMR,MPA,LTM_Kelp_SRock,36.634555,-121.946262,,,,,,,,,,,,,,X
RCCA,Spanish Bay,Asilomar SMR,MPA,LTM_Kelp_SRock,36.618332,-121.953613,,,,,,,,,,,X,X,X,X
