Site,Day,Month,Year,SurveyDate,Classcode,Size,Amount,Lat,Lon,Depth_ft,Temp10m
120 Reef,8,10,2006,8-Oct-06,purple urchin,2,10,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,purple urchin,3,16,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,purple urchin,4,23,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,purple urchin,5,28,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,purple urchin,6,20,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,purple urchin,7,3,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,purple urchin,8,1,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,3,3,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,4,7,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,5,23,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,6,10,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,7,16,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,8,14,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,9,18,33.737919,-118.392014,,15
120 Reef,8,10,2006,8-Oct-06,red urchin,10,11,33.737919,-118.392014,,15
120 Reef,9,9,2007,9-Sep-07,purple urchin,1,2,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,purple urchin,2,8,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,purple urchin,3,47,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,purple urchin,4,83,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,purple urchin,5,64,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,purple urchin,6,16,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,purple urchin,7,4,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,2,1,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,3,11,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,4,12,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,5,23,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,6,18,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,7,23,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,8,19,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,9,17,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,10,20,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,11,11,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,12,4,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,13,1,33.737919,-118.392014,,13
120 Reef,9,9,2007,9-Sep-07,red urchin,14,1,33.737919,-118.392014,,13
120 Reef,30,8,2008,30-Aug-08,purple urchin,2,3,33.737919,-118.392014,22.5,17
120 Reef,30,8,2008,30-Aug-08,purple urchin,3,26,33.737919,-118.392014,22.5,17
120 Reef,30,8,2008,30-Aug-08,purple urchin,4,71,33.737919,-118.392014,22.5,17
120 Reef,30,8,2008,30-Aug-08,purple urchin,5,36,33.737919,-118.392014,22.5,17
120 Reef,30,8,2008,30-Aug-08,purple urchin,6,5,33.737919,-118.392014,22.5,17
120 Reef,30,8,2008,30-Aug-08,red urchin,5,22,33.737919,-118.392014,22.5,17
120 Reef,30,8,2008,30-Aug-08,red urchin,6,26,33.737919,-118.392014,22.5,17
